6.19950566786114E+17,neutral,"Picturehouse's, Pink Floyd's, 'Roger Waters: The Walll - opening 29 Sept is now making waves. Watch the trailer on Rolling Stone - look...",
6.19969366986236E+17,neutral,"Order Go Set a Watchman in store or through our website before Tuesday and get it half price! #GSAW @GSAWatchmanBook https://t.co/KET6EGD1an",
6.19999109991285E+17,neutral,"Tune-in for the 2015 MISS USA Pageant on ReelzChannel on Sunday, July 12 at 8p ET/5p PT. Contestants from all 50... http://t.co/M3kJowOvQ1",
6.20015047889154E+17,neutral,"Miss Universe Org prez tells me #Trump won't attend Sunday's Miss USA event He's missed some in the past, but he said recently he'd be here",
6.20017122081686E+17,neutral,"Haven't read To Kill a Mockingbird in years. That may be a good thing for when I read Go Set a Watchman. Might make it less heartbreaking.",
6.20023409901044E+17,neutral,"Did you know that @ReelzChannel is airing Miss USA tomorrow? Here's why: http://t.co/Dj3a2snztd",
6.20031929182622E+17,neutral,"Miss USA tomorrow is either going to be the most watched show in 20 years or the least watched show in 20 years.",
6.20033827046597E+17,neutral,"REELZ is going to broadcast Miss USA tomorrow, finally someone is brave enough to step up. NBC's liberal ways has got to go!!!",
6.20040573395702E+17,neutral,"Here's the first chapter of ""Go Set a Watchman"" for all of you readers out there http://t.co/EpZu12hHFJ",
6.20045069605691E+17,neutral,"Donald Trump: 'I will not be able to attend the Miss USA pageant tomorrow night because I am https://t.co/HY5h78L0IB #breaking-news",
6.20060010396041E+17,neutral,"Will not be at the Miss USA pageant tomorrow. Campaigning in New Mexico. Or as I like to call it ""Legal Mexico""",
6.20064098731074E+17,neutral,"Obama is gonna be at the Illegal Miss USA pageant tomorrow. https://t.co/jZ107vMJZM",
6.20076360040583E+17,neutral,"@m_rutler @xtina @nbc ru hosting a Miss USA party ? Sugar cake for the top 5 . Miss America in AC in sept.Free trip contests? Ur fired xtina",
6.20084129640546E+17,neutral,"Given that Watchman repeats passages whole, it seems Lee didn't want to publish a 2nd book so much as she wanted to correct Mockingbird.",
6.20131126888133E+17,neutral,"Was chatting up ref librarian at local public library a few days ago about Watchman. Ended up on hold list for novel. Read 1st chapter..5/S",
6.20133093005857E+17,neutral,"Cartel Wedding, feeling like Chris Benoit after slamming Randy Orton for the 5th time in a row, stamina http://t.co/Xf3Ex1Knp6",
6.20163205327774E+17,neutral,"Should the Sunday #tradinglaw be a thing of the past? George Osborne thinks so http://t.co/nrLlUgID3e",
6.20192443204547E+17,neutral,"@mcuban Sir, if ur n Chicago, c Sir Paul McCartney, July 31. Met him in NY other day. He'll be xcellent. M sure he'd confirm I'd get ratings",
6.20329365948223E+17,neutral,"Trump should let whoever comes in 11th place in the polls be a guest judge at Miss USA, to make up for it.",
6.20334013320819E+17,neutral,"People of Cirencester! Tomorrow is the day before The Day! Last chance to pre-order Go Set A Watchman at Half Price. http://t.co/126ah7QpUT",
6.20338691488268E+17,neutral,"For the sake of being at work during th Miss USA finals I am deleting my Facebook app until tomorrow so I can... http://t.co/iUfubj0jyu",
6.20360837497229E+17,neutral,"Don't forget to tune in as Miss Iowa USA will represent the Hawkeye State during Sunday's Miss USA pageant: http://t.co/abM9iaS3B3",
6.20380830989337E+17,neutral,"Tune in to the 2015 MISS USA Pageant July 12 8p ET/5p PT in Baton Rouge LIVE on ReelzChannel",
6.20385344010252E+17,neutral,"@breeahnuh_ yes, it's true I've missed all my children but no Go Set a Watchman gets released Tuesday",
6.20411093656035E+17,neutral,"#weeds #drug Miss USA contestants take stage in 64th annual pageant: Women from across the country Sunday took... http://t.co/zXt4jb135x",
6.20416711003623E+17,neutral,"Thank you Miss USA! You stole my words ""Beauty is in the inside and outside"". You may be drop dead gorgeous but... http://t.co/rlUNVXm4Dq",
6.20427294075585E+17,neutral,"Miss USA or prom queen the world may never know",
6.20428257045778E+17,neutral,"Now that Miss USA is over I think I might World War Z for the 6th time  . Cant go to sleep in a quiet room the TV is always on",
6.20431875945841E+17,neutral,"Great way to end my 21st: watch the Miss USA pageant and cry because fat and ugly",
6.20432784390267E+17,neutral,"#MissUSA I wonder if someone from 1st Take is going to invite miss USA to the show",
6.2043623342506E+17,neutral,"Re-watching the Miss USA pageant and Miss Rhode Island may have just made me cry",
6.20449026186576E+17,neutral,"#TeamFollowBack Another pageant, another Q&amp;A fail to make you question our educational systems During Sunday's Miss USA p...  #FollowBack",
6.20456013582369E+17,neutral,".@TheRealKamie I'm the 1st to say embrace your body &amp; no one should be ashamed of theirs. However I want to know if ""Miss USA"" has nude vids",
6.20464868433367E+17,neutral,"Miss USA contestants prepare to take stage - BATON ROUGE, La. (AP) -- Women from across the country Sunday ... #news http://t.co/8rLUIcnbaU",
6.20470689850597E+17,neutral,"Donald Trump didn't show up for the Miss USA competition:  On Sunday, Olivia Jordan of Oklahoma was crowned Mi... http://t.co/sRaoXIBB4u",
6.20472962433569E+17,neutral,"Morning! Watch the 4 Lab leadership contenders give their views on George Osborne's budget for 1st time 0915 BBC2/BBCNews, with 100 voters",
6.20485556833813E+17,neutral,"@TimLihoreau tomorrow's breakfast serial suggestion. George Harison was a Beatle,so was Paul McCartney so how about My Love!!!!",
6.20490321688953E+17,neutral,"Skills crisis is key flaw in George Osborne's productivity plan, says CBI. Girls are the answer @CBI_ES - lets talk. http://t.co/S41fdmGlxJ",
6.2050990216788E+17,neutral,"Pictures of the day: 13 July 2015: Miss USA is crowned, a leaping gymnast and an erupting volcano",
6.20515322223796E+17,neutral,"George Osborne presented the first Budget of this Parliament on Wednesday 8 July 2015. The speech set out his... http://t.co/zz4Qpk7hpM",
6.20551647824085E+17,neutral,"George Osborne has been a believer in the living wage for two years - argues @MatthewdAncona http://t.co/jW76quIrYQ http://t.co/pGYdpJy9IZ",
6.20561982303793E+17,neutral,"Intense workouts &amp; diet starts tomorrow after watching the Miss USA pageant.",
6.2056840706331E+17,neutral,"Called Watchman, same story as To Set a Watchman but from the Watchman's point of view? https://t.co/7xdyl43gOu",
6.20569168757178E+17,neutral,"@TODAY inaccurate reporting on Watchman. Its the 1st book HL wrote after many revisions by request of publisher came To kill A mockingbird!",
6.20580732335997E+17,neutral,"Why would it be so bad if ARod played in the All-Star Game, but nobody cares that Ryan Braun will be playing tomorrow night #MLBAllStarGame",
6.20581905101136E+17,neutral,"Harper Lee's new novel ""Go Set a Watchman"" will be published tomorrow. Get a sneak peek of the first chapter here: http://t.co/TJ8pZpAgec",
6.20611678527472E+17,neutral,"See classic TO KILL A MOCKINGBIRD tonight 7 pm @CineplexMovies in Bayers Lake before Go Set a Watchman release Tues. http://t.co/5ccb9DFIco",
6.20612420436791E+17,neutral,"Harper Lee, the author of the American literature classic To Kill a Mockingbird, will publish her 2nd book, Go Set a Watchman, this Tuesday",
6.2062199552965E+17,neutral,"May d Almighty ALLAH in his infinite mercy use dis set of service chiefs as the tool 2 end d Boko Haram menace on our land. @DefenceInfoNG",
6.20629175469085E+17,neutral,"will try to watch Brave first then will deal with AHS while sulking over Go Set a Watchman tomorrow",
6.20630919964193E+17,neutral,"Go Set a Watchman on shelves Tuesday, some already upset with sequel: http://t.co/8PtcFAKDc0 (PHOTO: HarperCollins) http://t.co/jNsBSZyIwb",
6.20638288911561E+17,neutral,"Fifty five years ago today TO KILL A MOCKINGBIRD was published. GO SET A WATCHMAN is released tomorrow. Will you read it?",
6.20653423122199E+17,neutral,"If Sheamus lose against Orton, will be cashing MITB briefcase same night? And what about Dean Ambrose? https://t.co/dsp5UmKbPm",
6.20655393446973E+17,neutral,"On the one hand, George Osborne &amp; Theresa May. On the other, Scott Walker &amp; Donald Trump. Clowns to the left of me, jokers to my right...",
6.20662130895815E+17,neutral,"Miss Oklahoma wins Miss USA; Trump is the elephant (who wasn't) in the room: The Miss USA Pageant was held Sun... http://t.co/tvRyaWMSPT",
6.20664357706433E+17,neutral,"A girl named Jordan just got crowned Miss USA on Sunday. It wasn't me in case you were wondering...",
6.2067108438861E+17,neutral,"I am looking for to the release of Go Set a Watchman tomorrow by Harper Lee . I am NOT happy with all the spoilers  telling me about  it.",
6.20671902621696E+17,neutral,"Monday Night Raw tonight and we have one thing confirmed... Sheamus takes on Randy Orton at Battleground!",
6.20675726124171E+17,neutral,"July 17 @ the Prudential Center, Dean Ambrose vs. Seth Rollins World Heavyweight Championship Street Fight. Lets go SETH @WWERollins @WWE",
6.20694757447176E+17,neutral,"Sunday, during the Q&amp;A segment of the Miss USA pageant Miss Texas (Ylianna Guerra) made such an unapologetically... http://t.co/LJftdgulTQ",
6.20709550744838E+17,neutral,"GO SET A WATCHMAN drops tomorrow. ICYMI, I talked to indie bookstores around the country about their preparations http://t.co/Xp4UaKd4G5",
6.2071356217301E+17,neutral,"ReelzChannel's broadcast of the Miss USA pageant topped Nielsen Twitter TV ratings Sunday night.  More:... http://t.co/rX4ezzD5lr",
