['6.19950566786114E+17', 'neutral', "Picturehouse's, Pink Floyd's, 'Roger Waters: The Walll - opening 29 Sept is now making waves. Watch the trailer on Rolling Stone - look...", '']
['6.19974445185303E+17', 'neutral', 'If you could ask an onstage interview question at Miss USA tomorrow, what would it be?', '']
['6.20015047889154E+17', 'neutral', "Miss Universe Org prez tells me #Trump won't attend Sunday's Miss USA event He's missed some in the past, but he said recently he'd be here", '']
['6.20017122081686E+17', 'neutral', "Haven't read To Kill a Mockingbird in years. That may be a good thing for when I read Go Set a Watchman. Might make it less heartbreaking.", '']
['6.200243313227E+17', 'neutral', 'I\'ve read the book several times, so watching "To Kill A Mockingbird" as a refresher before "To Set a Watchman" novel is released on Tuesday', '']
['6.20033827046597E+17', 'neutral', "REELZ is going to broadcast Miss USA tomorrow, finally someone is brave enough to step up. NBC's liberal ways has got to go!!!", '']
['6.20040573395702E+17', 'neutral', 'Here\'s the first chapter of "Go Set a Watchman" for all of you readers out there http://t.co/EpZu12hHFJ', '']
['6.20045999977964E+17', 'neutral', 'UofL Volleyball Player @katiegeorge05 tomorrow night as she competes in the Miss USA Pageant. http://t.co/jQy7CfYzD1', '']
['6.20064098731074E+17', 'neutral', 'Obama is gonna be at the Illegal Miss USA pageant tomorrow. https://t.co/jZ107vMJZM', '']
['6.20076360040583E+17', 'neutral', '@m_rutler @xtina @nbc ru hosting a Miss USA party ? Sugar cake for the top 5 . Miss America in AC in sept.Free trip contests? Ur fired xtina', '']
['6.2011158123015E+17', 'neutral', 'Really think @taylorswift13 should have @taylorphelan as a guest for Bad Blood at the show Oct 17 in Dallas', '']
['6.20133093005857E+17', 'neutral', 'Cartel Wedding, feeling like Chris Benoit after slamming Randy Orton for the 5th time in a row, stamina http://t.co/Xf3Ex1Knp6', '']
['6.20163205327774E+17', 'neutral', 'Should the Sunday #tradinglaw be a thing of the past? George Osborne thinks so http://t.co/nrLlUgID3e', '']
['6.2026611905674E+17', 'neutral', '#Rangers - Josh Hamilton is not in the Rangers starting lineup on Sunday. http://t.co/hqWxQJ6vco #winning http://t.co/UC10Hlp3yD', '']
['6.20334013320819E+17', 'neutral', 'People of Cirencester! Tomorrow is the day before The Day! Last chance to pre-order Go Set A Watchman at Half Price. http://t.co/126ah7QpUT', '']
['6.20338691488268E+17', 'neutral', 'For the sake of being at work during th Miss USA finals I am deleting my Facebook app until tomorrow so I can... http://t.co/iUfubj0jyu', '']
['6.20372854501016E+17', 'neutral', "Nat'l Headline: Miss USA contestants prepare to take stage: Women from across the country Sunday are vying for... http://t.co/e6fAy16jgs", '']
['6.20385344010252E+17', 'neutral', "@breeahnuh_ yes, it's true I've missed all my children but no Go Set a Watchman gets released Tuesday", '']
['6.20411093656035E+17', 'neutral', '#weeds #drug Miss USA contestants take stage in 64th annual pageant: Women from across the country Sunday took... http://t.co/zXt4jb135x', '']
['6.20419644877181E+17', 'neutral', 'Had kid at Sunday school ask me: Did you know Paul McCartney was in another band before Wings? &lt;Feeling OLD&gt; #NostalgiaChat', '']
['6.20428257045778E+17', 'neutral', 'Now that Miss USA is over I think I might World War Z for the 6th time  . Cant go to sleep in a quiet room the TV is always on', '']
['6.20431875945841E+17', 'neutral', 'Great way to end my 21st: watch the Miss USA pageant and cry because fat and ugly', '']
['6.20434259405374E+17', 'neutral', '@snidere95 "I\'m Ellen Snider and I once survived a 3rd degree hand burn trying to make smores dip &amp; watch Miss USA when I was 20."', '']
['6.20449026186576E+17', 'neutral', "#TeamFollowBack Another pageant, another Q&amp;A fail to make you question our educational systems During Sunday's Miss USA p...  #FollowBack", '']
['6.20456013582369E+17', 'neutral', '.@TheRealKamie I\'m the 1st to say embrace your body &amp; no one should be ashamed of theirs. However I want to know if "Miss USA" has nude vids', '']
['6.2046793517421E+17', 'neutral', 'Instead of watching the Miss USA pageant I watched Drop Dead Gorgeous...A 1999 dark comedy &amp; Amy Adams 1st role! #USA http://t.co/AmchDlvhaU', '']
['6.20472962433569E+17', 'neutral', "Morning! Watch the 4 Lab leadership contenders give their views on George Osborne's budget for 1st time 0915 BBC2/BBCNews, with 100 voters", '']
['6.20485556833813E+17', 'neutral', "@TimLihoreau tomorrow's breakfast serial suggestion. George Harison was a Beatle,so was Paul McCartney so how about My Love!!!!", '']
['6.20493452539662E+17', 'neutral', 'Miss Oklahoma won the Miss USA pageant on Sunday https://t.co/KTxLA5Rd47', '']
['6.20515322223796E+17', 'neutral', 'George Osborne presented the first Budget of this Parliament on Wednesday 8 July 2015. The speech set out his... http://t.co/zz4Qpk7hpM', '']
['6.20551647824085E+17', 'neutral', 'George Osborne has been a believer in the living wage for two years - argues @MatthewdAncona http://t.co/jW76quIrYQ http://t.co/pGYdpJy9IZ', '']
['6.20565929798279E+17', 'neutral', "Go Set a Watchman is out tomorrow! We're open at 8:00am so you pick it up before work. Still time to preorder for half price today #GSOW", '']
