neutral,"@leftoutside Tomorrow's news: Heather Mills says that Paul McCartney plays the guitar left-handed but still uses a right-handed guitar."
neutral,"@HorneyMedia if your answer to the first question is Prince George then I do believe it is today his birthday not tomorrow"
neutral,"Eid wishes ever where but no wish for 1st working day after eid.. A blessed day Alhamdulilah :-)"
neutral,"Manchester the clear focus of George Osborne's #northernpowerhouse #devolution  http://t.co/neAim9CoXC"
neutral,"Unplanned 6th Day of Eid with Bestie! #Eid2015 https://t.co/FESf2PeORz"
neutral,"Ohio Gov. John Kasich launched his long-shot bid for the White House on Tuesday, casting himself as an underdog... http://t.co/r3j3SM21xu"
neutral,"Prince George is two today. I hope he doesn't angrily destroy his birthday cake like i did on my 2nd birthday #familylegend"
neutral,"If you phone in sick on Monday, you really must remember by Wednesday *not* to post pictures of yourself in Dunkin' Donuts #workfail"
neutral,"Prince George will celebrate his 2nd birthday with the Middletons &amp; no Charles http://t.co/3kIoOWrp4P http://t.co/HXYZXhtbwG"
neutral,"Nirvana tribute concert Friday July 31st at Pine Street Bar in Livermore, with tributes to Green Day and The... http://t.co/oD5VEuVAE8"
neutral,"Had a dream that I saw Nirvana live and Kurt Cobain sat and split his cigarette with me afterward and told me about life. Woke up sad."
neutral,"Marty's Dogs of Miami: Marty's Dogs No. 171-In Praise of the All-American... http://t.co/ATArM1BL5H Tomorrow: National Hot Dog Day. Eat up!"
neutral,"@smazolaniyi enhen nau. Next day after Eid they started. I've resumed work since Tuesday"
neutral,"Janet Street Porter shocks viewers as she calls two-year-old Prince George a ''CROSS-DRESSING millionaire'' http://t.co/Y7XHWpqASW #EMM"
neutral,"@Gulmakay :p nd im on job since 3rd day of Eid :("
neutral,"#MLB #Brewers Ryan Braun will not be in the starting lineup for Wednesday's game vs Cleveland."
neutral,"Prince George, who celebrates his second birthday on Tuesday 22 July, with his father, the Duke of Cambridge http://t.co/OyP66sTjkG"
neutral,"I was vending on Saturday at the Eid at the MLK, Jr. Middle School I noticed a lot of people did not know... http://t.co/cSJoJYxUr2"
neutral,"@KensingtonRoyal Hi I work for @DailyMirror video desk, may we please use this video on our website for a story about Prince George's bday?"
neutral,"Coming up on Twitter!  Tonight: Sharknado 3 (tired jokes!) Tomorrow: Trump visits the border Friday: Cynicism Saturday: Beach pictures!"
neutral,"Here we had long weekend due to Eid and it felt bad to go back to work after 5 days https://t.co/Aau67j1HtE"
neutral,"@ZaraKhokhar2 Pehli baar sun raha houn MCQ nahi tha. .-. I totally forgot you just as you forgot me on Eid! D: How was Eid?"
neutral,"https://t.co/SC0Pt93a8a  Monday night brawl with Undertaker and Brock Lesnar"
neutral,"Anyone who wants to to come to the Sharknado party (starts at 4, 3rd one starts at 8) please bring $5 to help buy food, if you plan to eat"
